Day,Month,Year,Time,Station,Particle,Reading
28,5,2013,4,Skopje_Mrsevci,PM10,
25,5,2013,21,Skopje_Mrsevci,PM10,
22,5,2013,8,Skopje_Lisice,PM10,13.26
19,5,2013,5,Skopje_Miladinovci,PM10,52.59
26,5,2013,15,Skopje_GaziBaba,PM10,92.07
12,6,2013,18,Skopje_GaziBaba,PM10,34.01
11,6,2013,12,Skopje_Mrsevci,PM10,
6,6,2013,2,Skopje_Mrsevci,PM10,
21,5,2013,16,Skopje_Centar,PM10,
13,6,2013,9,Skopje_Mrsevci,PM10,
1,6,2013,7,Skopje_Mrsevci,PM10,
30,5,2013,2,Skopje_Mrsevci,PM10,
26,5,2013,6,Skopje_Miladinovci,PM10,25.86
3,6,2013,3,Skopje_Mrsevci,PM10,
30,5,2013,8,Skopje_GaziBaba,PM10,67.04
20,5,2013,3,Skopje_Lisice,PM10,72.8
1,6,2013,19,Skopje_Karpos,PM10,
24,5,2013,23,Skopje_Centar,PM10,
27,5,2013,3,Skopje_Rektorat,PM10,30.83
8,6,2013,6,Skopje_Rektorat,PM10,26.17
18,5,2013,6,Skopje_Mrsevci,PM10,
8,6,2013,7,Skopje_Rektorat,PM10,26.97
9,6,2013,19,Skopje_Rektorat,PM10,36.34
27,5,2013,14,Skopje_Mrsevci,PM10,
1,6,2013,15,Skopje_Lisice,PM10,12.85
18,5,2013,20,Skopje_Miladinovci,PM10,237.15
13,6,2013,7,Skopje_GaziBaba,PM10,56.54
27,5,2013,15,Skopje_Centar,PM10,
9,6,2013,14,Skopje_Mrsevci,PM10,
4,6,2013,6,Skopje_Karpos,PM10,16.26
22,5,2013,3,Skopje_Miladinovci,PM10,29.35
9,6,2013,13,Skopje_Rektorat,PM10,25.11
2,6,2013,19,Skopje_Miladinovci,PM10,20.39
4,6,2013,4,Skopje_Mrsevci,PM10,
22,5,2013,1,Skopje_Mrsevci,PM10,
25,5,2013,24,Skopje_Karpos,PM10,20.37
10,6,2013,19,Skopje_GaziBaba,PM10,118.38
18,5,2013,4,Skopje_Miladinovci,PM10,43.42
25,5,2013,23,Skopje_Rektorat,PM10,6.26
21,5,2013,22,Skopje_Lisice,PM10,79.25
8,6,2013,23,Skopje_GaziBaba,PM10,78.69
12,6,2013,8,Skopje_Miladinovci,PM10,
21,5,2013,16,Skopje_Miladinovci,PM10,23.11
11,6,2013,13,Skopje_GaziBaba,PM10,38.1
22,5,2013,9,Skopje_Mrsevci,PM10,
